id,Jugadores,F_Nacim_Edad,Club,Altura,Pie,Partidos_con_la_seleccion,Goles,Numero_de_camisa,anio,posicion,activo,imagen
48,Cristian Arango,09/03/1995 (25),San José Earthquakes,1.76m,Derecho,2,0,17,2021,Delantero,True,
49,David Ospina,31/08/1988 (33),Atlético Nacional,1.83m,Derecho,129,0,1,2022,Arquero,True,
50,Iván Arboleda,21/04/1996 (25),Millonarios FC,1.85m,Derecho,1,0,12,2022,Arquero,True,
51,Camilo Vargas,09/03/1989 (32),Atlas Guadalajara,1.85m,Izquierdo,37,0,22,2022,Arquero,True,
52,Álvaro Montero,29/03/1995 (26),Millonarios FC,1.99m,Derecho,8,0,23,2022,Arquero,True,
53,Andrés Mosquera,10/09/1991 (30),Independiente Santa Fe,1.86m,Derecho,1,0,24,2022,Defensa,True,
54,José Luis Chunga,11/07/1991 (30),Independiente Medellín,1.80m,Derecho,3,0,25,2022,Arquero,True,
55,Diego Novoa,31/05/1989 (32),Millonarios FC,1.86m,Derecho,0,0,26,2022,Arquero,True,
56,Davinson Sánchez,12/06/1996 (25),Galatasaray,1.87m,Derecho,69,3,23,2022,Defensa,True,
57,Yerry Mina,23/09/1994 (27),Cagliari,1.95m,Derecho,49,7,13,2022,Defensa,True,
58,Jhon Lucumí,26/06/1998 (23),Bolonia,1.87m,Izquierdo,28,0,3,2022,Defensa,True,
59,Carlos Cuesta,09/03/1999 (22),Galatasaray,1.79m,Derecho,23,0,4,2022,Mediocampista,True,
60,Yeimar Gómez Andrade,30/06/1992 (29),Seattle Sounders FC,1.88m,Derecho,1,0,27,2022,Defensa,True,
61,William Tesillo,02/02/1990 (31),Atlético Nacional,1.85m,Izquierdo,30,1,6,2022,Defensa,True,
62,Óscar Murillo,18/04/1988 (33),Retirado,1.84m,Izquierdo,23,0,2,2022,Defensa,False,
63,Andrés Llinás,23/07/1997 (24),Millonarios FC,1.88m,Derecho,4,0,16,2022,Defensa,True,
64,Germán Mera,05/03/1990 (31),Sin equipo,1.87m,Izquierdo,0,0,28,2022,Defensa,True,
65,Johan Mojica,21/08/1992 (29),RCD Mallorca,1.85m,Izquierdo,38,1,17,2022,Defensa,True,
66,Alvaro Angulo,06/03/1997 (24),CA Independiente,1.77m,Izquierdo,1,0,5,2022,Defensa,True,
67,Frank Fabra,22/02/1991 (30),CA Boca Juniors,1.74m,Izquierdo,28,1,18,2022,Defensa,True,
68,Daniel Muñoz,26/05/1996 (25),Crystal Palace,1.81m,Derecho,38,3,21,2022,Defensa,True,
69,Stefan Medina,14/06/1992 (29),CF Monterrey,1.79m,Derecho,30,0,2,2022,Defensa,True,
70,Yerson Candelo,24/02/1992 (29),CD América de Cali,1.70m,Derecho,1,0,4,2022,Mediocampista,True,
71,Andrés Felipe Román,05/10/1995 (26),Atlético Nacional,1.83m,Derecho,1,0,6,2022,Defensa,True,
72,Helibelton Palacios,11/06/1993 (28),Millonarios FC,1.81m,Derecho,5,0,29,2022,Defensa,True,
73,Juan Mosquera,05/09/2002 (19),Portland Timbers,1.80m,Derecho,3,0,30,2022,Defensa,True,
74,Wilmar Barrios,16/10/1993 (28),Zenit de San Petersburgo,1.78m,Derecho,57,1,5,2022,Mediocampista,True,
75,Matheus Uribe,21/03/1991 (30),Atlético Nacional,1.82m,Derecho,62,6,15,2022,Mediocampista,True,
76,Jefferson Lerma,25/10/1994 (27),Crystal Palace,1.79m,Derecho,54,3,16,2022,Mediocampista,True,
77,Éder Balanta,28/02/1993 (28),CD América de Cali,1.80m,Izquierdo,9,0,3,2022,Mediocampista,True,
78,Gustavo Cuéllar,14/10/1992 (29),Grêmio Foot-Ball Porto Alegrense,1.76m,Derecho,24,1,8,2022,Mediocampista,True,
79,Víctor Cantillo,15/10/1993 (28),CA Huracán,1.80m,Derecho,2,0,8,2022,Mediocampista,True,
80,Andrés Colorado,01/12/1998 (23),Junior de Barranquilla,1.93m,Derecho,1,1,31,2022,Mediocampista,True,
81,Stiven Vega,22/05/1998 (23),Millonarios FC,1.78m,Derecho,1,0,20,2022,Mediocampista,True,
82,Daniel Giraldo,01/07/1992 (29),Esporte Clube Juventude,1.78m,Derecho,1,0,14,2022,Mediocampista,True,
83,Homer Martínez,06/10/1997 (24),Independiente Medellín,1.85m,Derecho,1,0,32,2022,Mediocampista,True,
84,Juan Sebastián Pedroza,08/04/1999 (22),Al-Okhdood Club,1.76m,Derecho,0,0,33,2022,Mediocampista,True,
85,Steven Alzate,08/09/1998 (23),Hull City,1.80m,Derecho,7,0,4,2022,Mediocampista,True,
